5,02
44,9309
5,22
45,2828
5,4
45,9003
5,6
46,66242
5,8
47,18382
6
47,24362
6,2
46,84235
6,4
46,19476
6,6
45,61008
6,8
45,3274
7
45,39776
7,2
45,67677
7,4
45,92749
7,6
45,97102
7,8
45,79562
8
45,56087
8,2
45,49483
8,4
45,74541
8,599999
46,2742
8,8
46,85783
9
47,20004
9,2
47,09356
9,4
46,54075
9,599999
45,76376
9,8
45,0961
5,02
 50,19314
5,22
 50,36378
5,4
 50,27934
5,6
 50,07219
5,8
 49,96126
6
 50,08666
6,2
 50,41144
6,4
 50,7359
6,6
 50,81435
6,8
 50,50733
7
 49,87976
7,2
 49,18569
7,4
 48,74367
7,6
 48,77026
7,8
 49,26339
8
 50,00099
8,2
 50,65607
8,4
 50,96485
8,599999
 50,8557
8,8
 50,46943
9
 50,06347
9,2
 49,85764
9,4
 49,91103
9,599999
 50,09973
9,8
 50,20595
